epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,672.489,1.65619,2.52449,1.79243,0.62376,0.60581,0.63093,0.29353,1.55542,2.47944,1.79069,0.000659794,0.000659794,0.000659794
2,1382.04,1.46203,1.76261,1.62475,0.70777,0.74689,0.72304,0.34244,1.70069,1.85559,1.86702,0.00119514,0.00119514,0.00119514
3,2037.2,1.43042,1.41903,1.58798,0.61272,0.71369,0.68039,0.31345,1.70601,1.60831,2.02768,0.00159849,0.00159849,0.00159849
4,2686.96,1.36514,1.16807,1.55214,0.72931,0.78423,0.73619,0.40045,1.59945,1.45123,1.94251,0.001406,0.001406,0.001406
5,3316.49,1.3308,1.03646,1.52718,0.74163,0.81743,0.80113,0.45692,1.30789,1.22189,1.559,0.001208,0.001208,0.001208
6,3910.21,1.25059,0.89512,1.46159,0.79727,0.8278,0.85683,0.51721,1.29774,1.00421,1.54694,0.00101,0.00101,0.00101
7,4525.58,1.20076,0.83206,1.42107,0.82051,0.89151,0.91665,0.57622,1.24468,0.87571,1.53154,0.000812,0.000812,0.000812
8,5163.26,1.13094,0.7844,1.37538,0.84449,0.84647,0.89557,0.56673,1.24871,0.93331,1.52076,0.000614,0.000614,0.000614
9,6113.88,1.09425,0.72464,1.34689,0.84568,0.89816,0.93819,0.5925,1.21137,0.82295,1.46724,0.000416,0.000416,0.000416
10,7704.49,1.04447,0.68122,1.3086,0.87898,0.91918,0.95057,0.65868,1.13067,0.70078,1.39054,0.000218,0.000218,0.000218
